Locus	Gene	MPN	Start	Stop
NC_000912.1	23S rRNA	MPN_RS00530	120057	122961
NC_000912.1	16S rRNA	MPN_RS00525	118314	119829
NC_000912.1	gyrA	MPN_RS00020	4821	7340
NC_000912.1	gyrB	MPN_RS00015	2869	4821
NC_000912.1	parC	MPN_RS00700	158374	160743
NC_000912.1	parE	MPN_RS00695	156467	158374
NC_000912.1	CARDS	MPN_RS02090	444341	446116
NC_000912.1	rplV(L22)	MPN_RS00960	221315	221794
NC_000912.1	rplD(L4)	MPN_RS00940	218833	219471
NC_000912.1	msrA	MPN_RS03455	727599	728072
NC_000912.1	msrB	MPN_RS03740	786139	786594
NC_000912.1	MPN_080	MPN_RS00435	96407	100567
